title,rating,numOfRatings,FirstMovieRecommendation,SecondMovieRecommendation,ThirdMovieRecommendation,FourthMovieRecommendation
Mystery Science Theater 3000: The Movie (1996),3.408450704225352,71,Lone Star (1996),Mars Attacks! (1996),"Fish Called Wanda, A (1988)",Mighty Aphrodite (1995)
Nadja (1994),2.142857142857143,7,Titanic (1997),"Birdcage, The (1996)",One Flew Over the Cuckoo's Nest (1975),Trainspotting (1996)
Naked (1993),3.0,15,Star Trek IV: The Voyage Home (1986),"Devil's Own, The (1997)",Star Trek: The Wrath of Khan (1982),Sense and Sensibility (1995)
Naked Gun 33 1/3: The Final Insult (1994),2.8,35,Butch Cassidy and the Sundance Kid (1969),"English Patient, The (1996)",Jurassic Park (1993),In & Out (1997)
Naked in New York (1994),1.5,2,Four Weddings and a Funeral (1994),"Full Monty, The (1997)",In & Out (1997),Independence Day (ID4) (1996)
National Lampoon's Senior Trip (1995),2.75,4,Speed (1994),Blade Runner (1982),Independence Day (ID4) (1996),"Hunt for Red October, The (1990)"
Natural Born Killers (1994),2.943661971830986,71,Twelve Monkeys (1995),Dead Man Walking (1995),L.A. Confidential (1997),Scream (1996)
Nell (1994),3.4893617021276597,47,Conspiracy Theory (1997),"Time to Kill, A (1996)","Truth About Cats & Dogs, The (1996)",Dante's Peak (1997)
Nelly & Monsieur Arnaud (1995),4.0,1,-,-,-,-
Nemesis 2: Nebula (1995),2.0,1,-,-,-,-
"Neon Bible, The (1995)",1.75,4,"English Patient, The (1996)",Liar Liar (1997),Lone Star (1996),Fargo (1996)
"Net, The (1995)",2.898550724637681,69,Volcano (1997),Mission: Impossible (1996),Murder at 1600 (1997),Speed (1994)
"NeverEnding Story III, The (1994)",2.375,8,When Harry Met Sally... (1989),Courage Under Fire (1996),"Hunt for Red October, The (1990)",Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"New Age, The (1994)",1.0,1,-,-,-,-
New Jersey Drive (1995),3.0,2,Apollo 13 (1995),Seven (Se7en) (1995),Sleepless in Seattle (1993),When Harry Met Sally... (1989)
New York Cop (1996),4.0,1,-,-,-,-
"Newton Boys, The (1998)",3.3333333333333335,3,In & Out (1997),Star Trek: The Wrath of Khan (1982),Star Trek: First Contact (1996),Stand by Me (1986)
"Next Karate Kid, The (1994)",2.2,5,When Harry Met Sally... (1989),L.A. Confidential (1997),Air Force One (1997),Alien (1979)
Nick of Time (1995),3.0689655172413794,29,Beauty and the Beast (1991),Contact (1997),Evita (1996),Phenomenon (1996)
Nico Icon (1995),3.0,1,-,-,-,-
Night Falls on Manhattan (1997),3.3157894736842106,19,Psycho (1960),Mars Attacks! (1996),Alien (1979),Twelve Monkeys (1995)
Night Flier (1997),4.5,2,-,-,-,-
Night of the Living Dead (1968),3.4,35,Field of Dreams (1989),Leaving Las Vegas (1995),"Full Monty, The (1997)",Trainspotting (1996)
Night on Earth (1991),3.9473684210526314,19,Gandhi (1982),To Kill a Mockingbird (1962),Return of the Jedi (1983),Dead Man Walking (1995)
"Nightmare Before Christmas, The (1993)",3.4225352112676055,71,"Birdcage, The (1996)",Starship Troopers (1997),Trainspotting (1996),Amadeus (1984)
"Nightmare on Elm Street, A (1984)",3.1578947368421053,57,Batman (1989),In & Out (1997),Four Weddings and a Funeral (1994),GoodFellas (1990)
Nightwatch (1997),2.0,1,-,-,-,-
Nikita (La Femme Nikita) (1990),3.8805970149253732,67,"Fifth Element, The (1997)",Boogie Nights (1997),In & Out (1997),To Kill a Mockingbird (1962)
Nil By Mouth (1997),1.5,2,Contact (1997),Evita (1996),Air Force One (1997),"Full Monty, The (1997)"
Nina Takes a Lover (1994),2.0,3,M*A*S*H (1970),Star Trek IV: The Voyage Home (1986),Rear Window (1954),"English Patient, The (1996)"
Nine Months (1995),3.096774193548387,31,It's a Wonderful Life (1946),Star Trek: The Wrath of Khan (1982),"Hunt for Red October, The (1990)",Dances with Wolves (1990)
Ninotchka (1939),3.6666666666666665,15,Starship Troopers (1997),"People vs. Larry Flynt, The (1996)","Full Monty, The (1997)","Graduate, The (1967)"
Nixon (1995),3.18,50,Apollo 13 (1995),Sleepless in Seattle (1993),Star Trek III: The Search for Spock (1984),In & Out (1997)
No Escape (1994),2.3333333333333335,3,Ransom (1996),Quiz Show (1994),Monty Python and the Holy Grail (1974),Alien (1979)
Nobody's Fool (1994),3.607142857142857,28,"Fifth Element, The (1997)",Star Trek: The Wrath of Khan (1982),Rear Window (1954),Die Hard (1988)
North (1994),2.6,5,Aladdin (1992),"Rock, The (1996)",Independence Day (ID4) (1996),"Birdcage, The (1996)"
North by Northwest (1959),4.185567010309279,97,Mars Attacks! (1996),Starship Troopers (1997),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),To Kill a Mockingbird (1962)
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",3.7037037037037037,27,In & Out (1997),Unforgiven (1992),Phenomenon (1996),Quiz Show (1994)
Nosferatu a Venezia (1986),3.0,1,-,-,-,-
Nothing to Lose (1994),3.0,3,-,-,-,-
Notorious (1946),4.107142857142857,28,Star Trek: First Contact (1996),"Time to Kill, A (1996)",Boogie Nights (1997),"Full Monty, The (1997)"
Now and Then (1995),3.6153846153846154,13,Murder at 1600 (1997),This Is Spinal Tap (1984),Boogie Nights (1997),"Sting, The (1973)"
Nowhere (1997),2.5,2,Twelve Monkeys (1995),Back to the Future (1985),Die Hard (1988),Jerry Maguire (1996)
"Nutty Professor, The (1996)",2.8854166666666665,96,"Truth About Cats & Dogs, The (1996)","Game, The (1997)",Face/Off (1997),Starship Troopers (1997)
Nénette et Boni (1996),4.333333333333333,3,"English Patient, The (1996)",Scream (1996),Dante's Peak (1997),Evita (1996)
"Object of My Affection, The (1998)",4.0,1,-,-,-,-
Of Human Bondage (1934),3.0,4,Mars Attacks! (1996),Stand by Me (1986),Gandhi (1982),It's a Wonderful Life (1946)
Of Love and Shadows (1994),4.0,3,-,-,-,-
Office Killer (1997),1.0,1,-,-,-,-
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",3.0,4,Schindler's List (1993),Murder at 1600 (1997),Casablanca (1942),"Graduate, The (1967)"
"Old Man and the Sea, The (1958)",3.533333333333333,15,Face/Off (1997),"Time to Kill, A (1996)","Saint, The (1997)",Phenomenon (1996)
Old Yeller (1957),3.526315789473684,38,Mars Attacks! (1996),Dead Man Walking (1995),It's a Wonderful Life (1946),In & Out (1997)
Oliver & Company (1988),2.5454545454545454,11,Jerry Maguire (1996),Men in Black (1997),"Fifth Element, The (1997)",Lone Star (1996)
"Omen, The (1976)",3.425925925925926,54,Men in Black (1997),"People vs. Larry Flynt, The (1996)",Seven (Se7en) (1995),Courage Under Fire (1996)
On Golden Pond (1981),3.6666666666666665,57,"Wizard of Oz, The (1939)",L.A. Confidential (1997),Butch Cassidy and the Sundance Kid (1969),When Harry Met Sally... (1989)
Once Upon a Time in America (1984),3.413793103448276,29,Star Trek: The Wrath of Khan (1982),Blade Runner (1982),M*A*S*H (1970),"Truth About Cats & Dogs, The (1996)"
Once Upon a Time in the West (1969),4.105263157894737,19,"Saint, The (1997)",Mighty Aphrodite (1995),Conspiracy Theory (1997),Forrest Gump (1994)
Once Upon a Time... When We Were Colored (1995),3.25,16,Mars Attacks! (1996),Field of Dreams (1989),Sleepless in Seattle (1993),"Fish Called Wanda, A (1988)"
Once Were Warriors (1994),4.285714285714286,21,Chasing Amy (1997),Dances with Wolves (1990),Beauty and the Beast (1991),It's a Wonderful Life (1946)
One Fine Day (1996),3.240740740740741,54,Star Trek IV: The Voyage Home (1986),Twister (1996),True Lies (1994),Dante's Peak (1997)
One Flew Over the Cuckoo's Nest (1975),4.313725490196078,153,Boogie Nights (1997),"Birdcage, The (1996)",In & Out (1997),"Shawshank Redemption, The (1994)"
One Night Stand (1997),3.111111111111111,9,Toy Story (1995),"Fish Called Wanda, A (1988)",Willy Wonka and the Chocolate Factory (1971),Batman (1989)
Only You (1994),3.0833333333333335,24,Star Trek IV: The Voyage Home (1986),Quiz Show (1994),Lone Star (1996),Alien (1979)
Open Season (1996),4.0,1,-,-,-,-
Operation Dumbo Drop (1995),2.7058823529411766,17,Dante's Peak (1997),To Kill a Mockingbird (1962),Leaving Las Vegas (1995),Boogie Nights (1997)
Original Gangstas (1996),2.0,4,Murder at 1600 (1997),Broken Arrow (1996),Chasing Amy (1997),"Empire Strikes Back, The (1980)"
Orlando (1993),3.9,20,Lone Star (1996),Jerry Maguire (1996),Contact (1997),Star Trek III: The Search for Spock (1984)
Oscar & Lucinda (1997),3.3333333333333335,12,Brazil (1985),"Fifth Element, The (1997)","Time to Kill, A (1996)",Quiz Show (1994)
Othello (1995),4.0,32,"Saint, The (1997)",Broken Arrow (1996),Lone Star (1996),Jurassic Park (1993)
"Other Voices, Other Rooms (1997)",3.0,1,-,-,-,-
Out to Sea (1997),2.7,10,"Sting, The (1973)","Princess Bride, The (1987)",Sense and Sensibility (1995),Liar Liar (1997)
Outbreak (1995),3.3015873015873014,63,"Saint, The (1997)",Courage Under Fire (1996),Dante's Peak (1997),In & Out (1997)
"Outlaw, The (1943)",2.0,1,-,-,-,-
"Pagemaster, The (1994)",2.0,2,-,-,-,-
"Pallbearer, The (1996)",2.5384615384615383,13,Starship Troopers (1997),Brazil (1985),Star Trek: The Wrath of Khan (1982),Leaving Las Vegas (1995)
Palmetto (1998),3.4444444444444446,9,Forrest Gump (1994),Mars Attacks! (1996),Blade Runner (1982),Mighty Aphrodite (1995)
Palookaville (1996),3.1666666666666665,6,"Shining, The (1980)",Broken Arrow (1996),Air Force One (1997),Field of Dreams (1989)
Panther (1995),2.6666666666666665,3,"Clockwork Orange, A (1971)",Top Gun (1986),Star Trek: The Wrath of Khan (1982),Speed (1994)
"Paper, The (1994)",3.217391304347826,23,Murder at 1600 (1997),Chasing Amy (1997),"Full Monty, The (1997)","Fish Called Wanda, A (1988)"
Paradise Lost: The Child Murders at Robin Hood Hills (1996),4.166666666666667,12,"Full Monty, The (1997)","Graduate, The (1967)",Aliens (1986),Raiders of the Lost Ark (1981)
Paradise Road (1997),3.6,5,Four Weddings and a Funeral (1994),Mrs. Doubtfire (1993),"Godfather, The (1972)",Mighty Aphrodite (1995)
"Parent Trap, The (1961)",3.2051282051282053,39,"Game, The (1997)",Aliens (1986),"Time to Kill, A (1996)",Speed (1994)
Paris Is Burning (1990),3.8125,16,Volcano (1997),True Lies (1994),"Time to Kill, A (1996)",Brazil (1985)
Paris Was a Woman (1995),3.0,1,-,-,-,-
"Paris, Texas (1984)",3.5,22,Volcano (1997),Broken Arrow (1996),Get Shorty (1995),True Lies (1994)
Party Girl (1995),2.625,8,Field of Dreams (1989),"Saint, The (1997)","Devil's Own, The (1997)",Star Trek: First Contact (1996)
Passion Fish (1992),3.4,15,Mr. Holland's Opus (1995),"Sound of Music, The (1965)","Shawshank Redemption, The (1994)",Amadeus (1984)
Pather Panchali (1955),4.666666666666667,3,It's a Wonderful Life (1946),Alien (1979),Apocalypse Now (1979),Twelve Monkeys (1995)
Paths of Glory (1957),4.368421052631579,19,Terminator 2: Judgment Day (1991),Star Trek: First Contact (1996),Stand by Me (1986),Sleepless in Seattle (1993)
Patton (1970),3.984848484848485,66,Evita (1996),Batman (1989),Courage Under Fire (1996),Phenomenon (1996)
"Peacemaker, The (1997)",3.267605633802817,71,"Saint, The (1997)",Dante's Peak (1997),Mrs. Doubtfire (1993),Heat (1995)
Penny Serenade (1941),3.3333333333333335,3,Casablanca (1942),One Flew Over the Cuckoo's Nest (1975),Blade Runner (1982),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)
"People vs. Larry Flynt, The (1996)",3.598360655737705,122,Mighty Aphrodite (1995),Boogie Nights (1997),M*A*S*H (1970),Heat (1995)
"Perez Family, The (1995)",3.0,7,Four Weddings and a Funeral (1994),Air Force One (1997),Sense and Sensibility (1995),"Full Monty, The (1997)"
"Perfect Candidate, A (1996)",4.0,4,M*A*S*H (1970),GoodFellas (1990),Terminator 2: Judgment Day (1991),Dead Man Walking (1995)
"Perfect World, A (1993)",3.7142857142857144,28,Lone Star (1996),Mighty Aphrodite (1995),Aladdin (1992),Butch Cassidy and the Sundance Kid (1969)
Persuasion (1995),4.0,26,"Truth About Cats & Dogs, The (1996)","Shining, The (1980)",Star Trek: The Wrath of Khan (1982),Boogie Nights (1997)
"Pest, The (1997)",1.8333333333333333,6,Seven (Se7en) (1995),Scream (1996),Jurassic Park (1993),Trainspotting (1996)
Pete's Dragon (1977),2.769230769230769,26,Evita (1996),"Game, The (1997)","Clockwork Orange, A (1971)","Sting, The (1973)"
"Phantom, The (1996)",2.515151515151515,33,Babe (1995),Star Trek III: The Search for Spock (1984),"Devil's Own, The (1997)",Indiana Jones and the Last Crusade (1989)
Phantoms (1998),2.25,4,Liar Liar (1997),True Lies (1994),Heat (1995),Titanic (1997)
Phat Beach (1996),1.6666666666666667,3,Eraser (1996),"Rock, The (1996)",Lone Star (1996),Star Trek: The Wrath of Khan (1982)
Phenomenon (1996),3.4596774193548385,124,Conspiracy Theory (1997),"Time to Kill, A (1996)","Lion King, The (1994)",Independence Day (ID4) (1996)
Philadelphia (1993),3.8289473684210527,76,Dante's Peak (1997),"Blues Brothers, The (1980)",Star Trek: The Wrath of Khan (1982),Sleepless in Seattle (1993)
"Philadelphia Story, The (1940)",4.068965517241379,58,Titanic (1997),Beauty and the Beast (1991),Phenomenon (1996),"Full Monty, The (1997)"
"Piano, The (1993)",3.696629213483146,89,"Time to Kill, A (1996)",Evita (1996),Leaving Las Vegas (1995),"Wizard of Oz, The (1939)"
Picnic (1955),3.5454545454545454,11,"Truth About Cats & Dogs, The (1996)",Star Trek: The Wrath of Khan (1982),This Is Spinal Tap (1984),Fargo (1996)
Picture Bride (1995),2.8333333333333335,6,Courage Under Fire (1996),Alien (1979),Quiz Show (1994),Jurassic Park (1993)
Picture Perfect (1997),2.8157894736842106,38,"Truth About Cats & Dogs, The (1996)","Clockwork Orange, A (1971)",Amadeus (1984),True Lies (1994)
Pie in the Sky (1995),2.3333333333333335,3,"Rock, The (1996)",Murder at 1600 (1997),Air Force One (1997),Mr. Holland's Opus (1995)
"Pillow Book, The (1995)",3.4545454545454546,11,Gandhi (1982),It's a Wonderful Life (1946),Alien (1979),"Empire Strikes Back, The (1980)"
Pink Floyd - The Wall (1982),3.3548387096774195,62,"Game, The (1997)","Time to Kill, A (1996)",Leaving Las Vegas (1995),"Blues Brothers, The (1980)"
Pinocchio (1940),3.764705882352941,68,Ransom (1996),E.T. the Extra-Terrestrial (1982),"Devil's Own, The (1997)",Volcano (1997)
Platoon (1986),3.7567567567567566,74,Willy Wonka and the Chocolate Factory (1971),Quiz Show (1994),Stand by Me (1986),Courage Under Fire (1996)
Playing God (1997),2.8,20,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),"Sound of Music, The (1965)",Psycho (1960),"Wizard of Oz, The (1939)"
Pocahontas (1995),2.75,24,Starship Troopers (1997),Mighty Aphrodite (1995),Air Force One (1997),Jerry Maguire (1996)
Poetic Justice (1993),3.0,7,Brazil (1985),Air Force One (1997),It's a Wonderful Life (1946),Groundhog Day (1993)
Poison Ivy II (1995),2.2857142857142856,7,Men in Black (1997),"Truth About Cats & Dogs, The (1996)",Phenomenon (1996),Liar Liar (1997)
Police Story 4: Project S (Chao ji ji hua) (1993),1.0,1,-,-,-,-
Pollyanna (1960),3.210526315789474,19,Dante's Peak (1997),Phenomenon (1996),Courage Under Fire (1996),Raising Arizona (1987)
"Pompatus of Love, The (1996)",3.0,5,Twelve Monkeys (1995),Jerry Maguire (1996),Mrs. Doubtfire (1993),Murder at 1600 (1997)
Ponette (1996),3.2,5,Trainspotting (1996),Babe (1995),Sleepless in Seattle (1993),Seven (Se7en) (1995)
"Portrait of a Lady, The (1996)",2.3333333333333335,9,Willy Wonka and the Chocolate Factory (1971),L.A. Confidential (1997),"Rock, The (1996)","Shawshank Redemption, The (1994)"
"Postino, Il (1994)",3.9690721649484537,97,Lone Star (1996),One Flew Over the Cuckoo's Nest (1975),"Full Monty, The (1997)",Trainspotting (1996)
"Postman, The (1997)",3.1666666666666665,24,"Truth About Cats & Dogs, The (1996)",Face/Off (1997),Dante's Peak (1997),Sense and Sensibility (1995)
Powder (1995),3.380952380952381,21,"Game, The (1997)","Hunt for Red October, The (1990)",Butch Cassidy and the Sundance Kid (1969),Eraser (1996)
Power 98 (1995),1.0,1,-,-,-,-
"Preacher's Wife, The (1996)",3.1025641025641026,39,"Saint, The (1997)",Groundhog Day (1993),Psycho (1960),Volcano (1997)
Prefontaine (1997),5.0,1,-,-,-,-
Pretty Woman (1990),3.3333333333333335,84,"Sound of Music, The (1965)",Butch Cassidy and the Sundance Kid (1969),True Lies (1994),M*A*S*H (1970)
"Price Above Rubies, A (1998)",3.5,2,-,-,-,-
Priest (1994),4.136363636363637,22,Rear Window (1954),Evita (1996),Brazil (1985),When Harry Met Sally... (1989)
Primal Fear (1996),3.641304347826087,92,Conspiracy Theory (1997),"Shawshank Redemption, The (1994)",Sleepless in Seattle (1993),Toy Story (1995)
Primary Colors (1998),4.333333333333333,6,Independence Day (ID4) (1996),Twister (1996),Men in Black (1997),"Sound of Music, The (1965)"
"Princess Bride, The (1987)",4.13013698630137,146,Mr. Holland's Opus (1995),Dead Poets Society (1989),Dante's Peak (1997),Starship Troopers (1997)
Princess Caraboo (1994),3.2222222222222223,9,Jurassic Park (1993),"Truth About Cats & Dogs, The (1996)",Toy Story (1995),Star Trek: First Contact (1996)
Prisoner of the Mountains (Kavkazsky Plennik) (1996),1.0,1,-,-,-,-
Private Benjamin (1980),3.1481481481481484,27,Babe (1995),"Truth About Cats & Dogs, The (1996)",Leaving Las Vegas (1995),"Time to Kill, A (1996)"
Private Parts (1997),3.6,55,"Hunt for Red October, The (1990)","Full Monty, The (1997)","Blues Brothers, The (1980)",Jurassic Park (1993)
"Professional, The (1994)",3.675675675675676,74,Chasing Amy (1997),Star Trek: First Contact (1996),"Shining, The (1980)",Psycho (1960)
"Program, The (1993)",2.7777777777777777,18,It's a Wonderful Life (1946),M*A*S*H (1970),Face/Off (1997),Mission: Impossible (1996)
"Promesse, La (1996)",4.0,2,-,-,-,-
"Promise, The (Versprechen, Das) (1994)",1.0,1,-,-,-,-
"Prophecy II, The (1998)",2.5,10,Evita (1996),Murder at 1600 (1997),Boogie Nights (1997),Monty Python and the Holy Grail (1974)
"Prophecy, The (1995)",2.857142857142857,21,"Full Monty, The (1997)",Conspiracy Theory (1997),Lone Star (1996),Evita (1996)
Psycho (1960),4.1,130,"Clockwork Orange, A (1971)",Dante's Peak (1997),Volcano (1997),Fargo (1996)
Pulp Fiction (1994),4.159090909090909,220,Boogie Nights (1997),Stand by Me (1986),Mighty Aphrodite (1995),Raising Arizona (1987)
Pump Up the Volume (1990),3.5813953488372094,43,Murder at 1600 (1997),"Truth About Cats & Dogs, The (1996)",Indiana Jones and the Last Crusade (1989),Ransom (1996)
Purple Noon (1960),3.0,4,When Harry Met Sally... (1989),"Full Monty, The (1997)",Four Weddings and a Funeral (1994),Mighty Aphrodite (1995)
Pushing Hands (1992),2.0,2,Quiz Show (1994),M*A*S*H (1970),"Silence of the Lambs, The (1991)",Beauty and the Beast (1991)
"Pyromaniac's Love Story, A (1995)",1.75,4,Dances with Wolves (1990),Fargo (1996),"Truth About Cats & Dogs, The (1996)",Star Trek: The Wrath of Khan (1982)
Quartier Mozart (1992),1.0,1,-,-,-,-
"Queen Margot (Reine Margot, La) (1994)",3.5454545454545454,11,Scream (1996),Eraser (1996),Air Force One (1997),Unforgiven (1992)
"Quest, The (1996)",2.4,15,M*A*S*H (1970),"Godfather, The (1972)","People vs. Larry Flynt, The (1996)",Stand by Me (1986)
"Quick and the Dead, The (1995)",3.04,25,"Game, The (1997)",Evita (1996),Dante's Peak (1997),Dances with Wolves (1990)
"Quiet Man, The (1952)",3.8684210526315788,38,"Shining, The (1980)",Broken Arrow (1996),"Devil's Own, The (1997)",Quiz Show (1994)
"Quiet Room, The (1996)",5.0,1,-,-,-,-
Quiz Show (1994),3.6435643564356437,101,M*A*S*H (1970),Apocalypse Now (1979),Four Weddings and a Funeral (1994),Babe (1995)
Race the Sun (1996),2.3333333333333335,3,"Shining, The (1980)",Jerry Maguire (1996),Quiz Show (1994),Jurassic Park (1993)
